id,type,subtype2,subtype1,player1,player2,team,lon,lat,elapsed,elapsed_plus,game_id
488312,goal,loose_ball,n,30619,NA,10261,NA,NA,80,NA,1773
488436,goal,shot,n,37799,29581,10261,NA,NA,87,NA,1773
488465,goal,header,n,24230,37684,8528,NA,NA,89,NA,1773
487580,goal,header,n,19020,23916,8655,NA,NA,45,2,1774
487745,goal,bicycle_kick,n,30988,NA,8472,NA,NA,49,NA,1774
488148,goal,shot,n,33418,38802,8472,NA,NA,71,NA,1774
487365,goal,deflected,n,24020,NA,9879,NA,NA,33,NA,1775
488094,goal,shot,n,31907,24020,9879,NA,NA,70,NA,1775
488278,goal,shot,n,24157,23760,8586,NA,NA,81,NA,1775
486531,goal,header,n,37139,34222,8650,NA,NA,28,NA,1776
486560,goal,header,dg,23783,NA,8559,NA,NA,45,2,1776
486671,goal,header,n,30618,30853,8650,NA,NA,73,NA,1776
488694,goal,distance,n,25925,NA,8455,NA,NA,34,NA,1777
488701,goal,shot,n,37804,30679,8455,NA,NA,38,NA,1777
488714,goal,shot,n,37804,31906,8455,NA,NA,45,1,1777
491389,goal,shot,n,26143,NA,8667,NA,NA,14,NA,1778
491660,goal,shot,n,24213,NA,8456,NA,NA,37,NA,1778
491749,goal,shot,n,24213,33963,8456,NA,NA,45,NA,1778
492075,goal,direct_freekick,n,39073,NA,8667,NA,NA,60,NA,1778
499914,goal,deflected,n,30966,NA,8654,NA,NA,20,NA,1780
498739,goal,shot,n,40755,30895,8586,NA,NA,9,NA,1781
495126,goal,header,n,26454,24372,8559,NA,NA,8,NA,1783
495174,goal,shot,n,24372,26454,8559,NA,NA,10,NA,1783
496486,goal,shot,n,24167,24166,8549,NA,NA,77,NA,1783
496502,goal,shot,n,34261,35532,8559,NA,NA,78,NA,1783
495831,goal,loose_ball,n,24213,NA,8456,NA,NA,45,2,1784
496107,goal,shot,n,33974,30367,8456,NA,NA,56,NA,1784
496750,goal,NA,p,51553,NA,8456,NA,NA,90,1,1784
495329,goal,header,n,30830,26108,8462,NA,NA,20,NA,1785
496069,goal,header,n,34275,26066,8667,NA,NA,54,NA,1785
496258,goal,distance,n,34036,NA,8462,NA,NA,63,NA,1785
496682,goal,NA,o,24630,NA,8462,NA,NA,88,NA,1785
496585,goal,header,n,23314,35467,10194,NA,NA,84,NA,1786
502113,goal,shot,n,24841,35327,8528,NA,NA,51,NA,1787
496096,goal,loose_ball,dg,30630,NA,8455,NA,NA,55,NA,1788
507018,goal,shot,n,33418,38802,8472,NA,NA,11,NA,1790
507106,goal,header,n,24372,26454,8559,NA,NA,18,NA,1790
507142,goal,shot,n,23783,NA,8559,NA,NA,21,NA,1790
507259,goal,shot,dg,33418,NA,8472,NA,NA,30,NA,1790
507390,goal,shot,n,34261,23783,8559,NA,NA,39,NA,1790
507734,goal,shot,n,34261,23933,8559,NA,NA,55,NA,1790
510671,goal,deflected,n,36012,24011,8668,NA,NA,51,NA,1791
508138,goal,shot,dg,35608,NA,8549,NA,NA,83,NA,1793
509706,goal,loose_ball,n,30829,34944,10260,NA,NA,42,NA,1794
510681,goal,header,n,30830,34036,8462,NA,NA,49,NA,1795
510747,goal,shot,n,30348,38820,8462,NA,NA,53,NA,1795
510896,goal,header,n,23170,23916,8655,NA,NA,62,NA,1795
510978,goal,distance,n,23913,NA,8655,NA,NA,67,NA,1795
511180,goal,loose_ball,n,24653,NA,8462,NA,NA,79,NA,1795
